Event number,Number of tracks,Notes,,,
0,2,,,,
1,0,,,0 track:,662
2,1,,,1 track:,140
3,2,,,2 track:,382
4,1,,,3 track:,476
5,2,,,4 track:,215
6,1,,,5 track:,583
7,1,,,Total:,2458
8,2,,,,
9,0,,,,
10,5,,,,
11,0,,,,
12,3,,,,
13,3,very short tracks,,,
14,1,,,,
15,1,supa thick,,,
16,3,,,,
17,0,,,,
18,0,,,,
19,0,,,,
20,0,,,,
21,0,,,,
22,0,,,,
23,1,,,,
24,1,,,,
25,0,,,,
26,0,,,,
27,0,,,,
28,2,,,,
29,0,,,,
30,0,,,,
31,0,kind of one maybe,,,
32,0,,,,
33,3,,,,
34,2,,,,
35,0,,,,
36,2,6/16,,,
37,0,,,,
38,1,messy but for sure there's one,,,
39,0,,,,
40,4,,,,
41,2,,,,
42,2,6/16,,,
43,2,probably,,,
44,2,6/16,,,
45,0,,,,
46,0,mayyyyybe one,,,
47,0,,,,
48,3,,,,
49,2,,,,
50,0,,,,
51,0,,,,
52,0,,,,
53,5,,,,
54,0,,,,
55,0,,,,
56,1,hard to tell,,,
57,0,,,,
58,2,,,,
59,2,6/16,,,
60,2,,,,
61,1,,,,
62,0,,,,
63,2,6/16,,,
64,0,,,,
65,0,,,,
66,2,,,,
67,1,,,,
68,0,,,,
69,3,,,,
70,2,,,,
71,2,6/16,,,
72,2,,,,
73,0,,,,
74,2,,,,
75,0,,,,
76,2,maybe,,,
77,1,,,,
78,3,,,,
79,0,,,,
80,1,,,,
81,0,,,,
82,1,,,,
83,1,thin,,,
84,0,,,,
85,0,,,,
86,0,,,,
87,2,,,,
88,0,,,,
89,2,,,,
90,2,one is very short,,,
91,2,,,,
92,0,,,,
93,0,probably something in there but too hard to tell,,,
94,0,,,,
95,2,,,,
96,0,,,,
97,2,tricky,,,
98,3,idk what's going on here,,,
99,2,6/16,,,
100,0,,,,
101,2,short,,,
102,2,ghostly event,,,
103,3,,,,
104,0,,,,
105,0,,,,
106,0,,,,
107,4,,,,
108,3,,,,
109,0,,,,
110,0,,,,
111,0,,,,
112,3,,,,
113,0,,,,
114,2,6/16,,,
115,4,,,,
116,3,,,,
117,2,,,,
118,2,,,,
119,2,really short second,,,
120,3,,,,
121,0,,,,
122,0,,,,
123,1,,,,
124,2,6/16,,,
125,1,,,,
126,1,,,,
127,0,,,,
128,0,almost one,,,
129,0,,,,
130,1,,,,
131,0,,,,
132,1,,,,
133,2,,,,
134,0,,,,
135,3,,,,
136,2,,,,
137,3,,,,
138,3,or two ,,,
139,0,,,,
140,1,,,,
141,1,,,,
142,0,,,,
143,0,,,,
144,0,,,,
145,3,unsure,,,
146,3,I think,,,
147,1,,,,
148,0,,,,
149,0,,,,
150,2,6/16,,,
151,0,,,,
152,2,,,,
153,0,,,,
154,0,,,,
155,0,,,,
156,0,,,,
157,2,,,,
158,2,6/16,,,
159,0,,,,
160,0,,,,
161,0,,,,
162,3,,,,
163,0,,,,
164,0,,,,
165,0,,,,
166,3,,,,
167,3,,,,
168,3,,,,
169,0,,,,
170,2,,,,
171,0,,,,
172,0,,,,
173,0,,,,
174,3,gorgeous,,,
175,0,,,,
176,0,,,,
177,2,,,,
178,0,,,,
179,1,cute,,,
180,0,,,,
181,0,,,,
182,5,,,,
183,2,6/16,,,
184,2,,,,
185,0,,,,
186,3,,,,
187,1,,,,
188,2,6/16,,,
189,2,,,,
190,2,,,,
191,3,,,,
192,2,,,,
193,0,,,,
194,2,thick af,,,
195,0,,,,
196,4,hard,,,
197,0,,,,
198,0,,,,
199,3,,,,
200,1,,,,
201,2,,,,
202,0,,,,
203,2,,,,
204,1,,,,
205,0,,,,
206,0,,,,
207,0,,,,
208,3,,,,
209,1,,,,
210,2,,,,
211,0,,,,
212,2,,,,
213,0,,,,
214,0,,,,
215,3,,,,
216,2,6/16,,,
217,0,,,,
218,0,,,,
219,0,,,,
220,0,,,,
221,0,,,,
222,0,,,,
223,0,,,,
224,0,,,,
225,2,,,,
226,3,one is very short,,,
227,0,,,,
